"19290","Pioneer Airways: PNR"
"19291","Pocono Airlines Inc.: POC"
"19292","Pompano Airways: POM"
"19293","Ponderosa Aviation Inc.: PON"
"19294","Princeton Aviation Corp: PRA"
"19295","Pro Air Services: PRR"
"19296","Precision Valley Aviation: PVA"
"19297","Bar Harbor Airways: QOZ"
"19298","Royal-Air Ltd.: RAL"
"19299","Realwest Airlines: REA"
"19300","Aerosun International Airlines Inc.: RED"
"19301","Royal Hawaiian Airways Inc.: RHA"
"19302","Richardson Aviation: RIC"
"19303","Indiana Airways Inc. (Reid: RID"
"19304","Rio Airways Inc.: RIO"
"19305","Riverside Air Service: RIV"
"19306","Michigan Airways Inc.: RJS"
"19307","Roederer Aviation Inc.: ROE"
"19308","Royal American Airways Inc.: ROY"
"19309","Air Rovers Inc.: RWG"
"19310","Sajen Air Inc.: SAJ"
"19311","Samoan Airlines Inc.: SAM"
"19312","Air Cortez International: SAS"
"19313","Air Americana: SAX"
"19314","Saber Aviation Inc.: SBA"
"19315","Suburban Airlines: SBN"
"19316","Seaco Airlines Inc.: SCO"
"19317","Skyline Airlines: SCT"
"19318","South Coast Airways: SCY"
"19319","Semo Aviation Inc.: SEM"
"19320","Stahmannfarms Inc.: SFI"
"19321","Sfo Helicopter Airlines Inc.: SFO"
"19322","Sierra Flite Service Inc.: SFS"
"19323","Shasta Air Inc.: SHS"
"19324","Shavano Air Inc.: SHV"
"19325","Silver State Airlines: SIA"
"19326","San Juan Airlines Inc.: SJA"
"19327","Bas Airlines: SKL"
"19328","Scheduled Skyways: SKM"
"19329","Stopher Mechanical Inc.: SMC"
"19330","Gelco Courier Services Inc.: SNC"
"19331","Shawnee Airlines: SNE"
"19332","Mall Airways Inc.: SOA"
"19333","Soonair Lines Inc.: SOL"
"19334","Springfield Air Service: SPF"
"19335","Sterling Air Service: SRL"
"19336","Southern Seaplane: SSP"
"19337","Sierra Express Inc.: SSS"
"19338","Seaplane Shuttle Transport: SST"
"19339","Trans East International: STF"
"19340","Star Aviation Corporation: STR"
"19341","Sun International Airways: SUI"
"19342","Sunbelt: SUT"
"19343","Sun Valley Airlines: SVL"
"19344","Sunwest Airlines: SWA"
"19345","Air Colorado: TAC"
"19346","Tejas Airlines Inc.: TAL"
"19347","Yosemite Airlines Inc.: TAS"
"19348","Trans Catalina Airlines: TCA"
"19349","Oceanair Line: TCE"
"19350","Trans California Airlines: TCI"
"19351","Trans-Central Airlines Inc.: TCL"
"19352","Trans-Colorado Airlines: TCO"
"19353","Tennessee Airways Inc.: TEN"
"19354","Terre Haute Air Commuter: TER"
"19355","Thorson Aviation: THO"
"19356","Trans Air Inc.: TIA"
"19357","Skyfreight: TIS"
"19358","Trans Mo Airlines: TMA"
"19359","Transtate Aviation: TNS"
"19360","Trans Pennsylvania Airlines: TRP"
"19361","Trans Sierra Airlines Inc.: TSI"
